engine,score,kind,pages,ok,error,wallMs,wallMsPerPage,usd,tokensIn,tokensOut,f1,precision,recall,anyHandF1,globalF1,onsetMeanAbs,durationAcc,barsGt,barsEng,barsAligned,barsExactDur,barsOverfull,barsUnderfull,geoRecall,geoXIoU,scoreDataMeasures,measuresPlaced,measuresWithSlots,systemsWithStaves,fallbackPages,llmCalls,warnings
llm-notes,bach-prelude-846-scan,scan,2,true,,110265,55133,0.06654399999999999,10112,4632,0.0442,0.0492,0.0401,0.1104,0.0462,65.5,0.9091,35,35,35,18,17,0,,,35,0,0,0,0,2,meter_suspect measure_overfull measure_underfull tempo_defaulted no_geometry
llm-notes,bach-fugue-846-scan,scan,2,true,,40374,20187,0.065328,10109,4511,0.0844,0.0961,0.0752,0.1244,0.0725,51.6,0.7719,27,28,27,1,26,0,,,28,0,0,0,0,2,meter_suspect measure_overfull tempo_defaulted no_geometry
llm-notes,beethoven-8-2-scan,scan,3,true,,88643,29548,0.142754,17872,10701,0.0472,0.0601,0.0389,0.0929,0.0509,72,0.75,73,75,73,61,12,0,,,75,0,0,0,0,3,measure_overfull measure_underfull dynamics_not_staff_split tempo_defaulted no_geometry
llm-notes,beethoven-8-2-scan-berg,scan,4,true,,181685,45421,0.116126,19758,7661,0.0227,0.0517,0.0146,0.0663,0.0265,73.3,0.6667,73,72,72,72,0,0,,,72,0,0,0,0,4,measure_underfull dynamics_not_staff_split tempo_defaulted no_geometry
llm-notes,haydn-39-3-scan,scan,4,true,,112206,28052,0.16754000000000002,27910,11172,0.101,0.1538,0.0752,0.1164,0.0779,27.8,0.9153,121,118,117,99,18,0,,,118,0,0,0,0,4,measure_overfull measure_underfull dynamics_not_staff_split no_geometry repeats_ignored
llm-notes,mozart-11-3-scan,scan,4,true,,205030,51258,0.181,19390,14222,0.1415,0.1557,0.1296,0.1547,0.121,36.2,0.9065,137,136,131,114,17,0,,,136,0,0,0,0,4,measure_underfull measure_overfull dynamics_not_staff_split tempo_defaulted no_geometry repeats_ignored
llm-notes,chopin-10-3-scan,scan,4,true,,197780,49445,0.139934,20242,9945,0.108,0.1412,0.0875,0.1687,0.0952,62.5,0.9231,78,65,65,0,65,0,,,65,0,0,0,0,4,meter_corrected measure_underfull measure_overfull dynamics_not_staff_split no_geometry
llm-notes,scriabin-8-11-scan,scan,3,true,,100522,33507,0.11304399999999999,16227,8059,0.0548,0.0742,0.0435,0.107,0.0478,29.7,0.871,54,54,54,26,28,0,,,54,0,0,0,0,3,meter_suspect measure_overfull measure_underfull dynamics_not_staff_split no_geometry
llm-notes+sys,bach-prelude-846,typeset,3,true,,80087,26696,0.15479199999999999,46071,6265,0.1208,0.1106,0.133,0.1489,0.0744,71.5,0.8904,35,37,35,16,19,0,0,,37,0,0,0,0,14,meter_suspect measure_overfull measure_underfull tempo_defaulted no_geometry
llm-notes+sys,bach-fugue-846,typeset,4,true,,69055,17264,0.186428,55374,7568,0.1219,0.1164,0.128,0.1508,0.0629,59.4,0.866,27,50,27,10,17,0,0,,50,0,0,0,0,16,meter_suspect measure_overfull measure_underfull tempo_defaulted no_geometry
